animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
2C6,14.03,0,MB,old,1.1637961335676628,0.006380766731643925,True,old_enriched
56R,14.95,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,0.8933216168717049,0.03337881741390513,True,old_enriched
1G8,7.88,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
2I1,10.27,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
43N,17.0,0,MB,old,-0.4590509666080843,0.06746588693957115,False,neutral
2Q0,3.21,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
56R,14.95,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
56R,14.95,0,MB,old,1.1637961335676628,0.006380766731643925,True,old_enriched
56R,14.95,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
5R4,6.25,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
2V1,4.3,0,MB,young,0.8933216168717049,0.03337881741390513,True,old_enriched
8I6,9.9,0,MB,young,0.6228471001757471,0.03337881741390513,True,old_enriched
56R,14.95,0,MB,old,1.1637961335676628,0.006380766731643925,True,old_enriched
1G8,7.88,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
5R4,6.25,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
8I6,9.9,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
8M0,8.12,0,MB,young,-1.0,0.009525666016894087,True,young_enriched
2S2,6.31,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
5R4,6.25,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
2I1,10.27,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
7M4,8.15,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
1L1,8.17,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
0B9,12.11,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
5H6,11.03,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
0B9,12.11,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
6O7,6.03,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
2C6,14.03,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
3T5,5.12,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
2S2,6.31,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
56R,14.95,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
1G8,7.88,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
2S2,6.31,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
2S2,6.31,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
2S2,6.31,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,0.8933216168717049,0.03337881741390513,True,old_enriched
5H6,11.03,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
2I1,10.27,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
7F0,11.2,0,MB,old,0.6228471001757471,0.03337881741390513,True,old_enriched
56R,14.95,0,MB,old,1.4342706502636207,6.49772579597141e-06,True,old_enriched
1G8,7.88,0,MB,young,1.1637961335676628,0.006380766731643925,True,old_enriched
98V,16.03,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
2Q0,3.21,0,MB,young,0.8933216168717049,0.03337881741390513,True,old_enriched
2S6,3.17,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
5R4,6.25,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
56R,14.95,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
4S3,3.18,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
5R4,6.25,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
5R4,6.25,0,MB,young,0.6228471001757471,0.03337881741390513,True,old_enriched
7M4,8.15,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
2V1,4.3,0,MB,young,-1.0,0.009525666016894087,True,young_enriched
7F0,11.2,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
1G8,7.88,0,MB,young,0.8933216168717049,0.03337881741390513,True,old_enriched
5R4,6.25,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
2I1,10.27,0,MB,old,-0.7295254833040422,0.06746588693957115,False,young_enriched
2C6,14.03,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
2S2,6.31,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
56R,14.95,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
7M4,8.15,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
2I1,10.27,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
2V1,4.3,0,MB,young,1.1637961335676628,0.006380766731643925,True,old_enriched
6O7,6.03,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
56R,14.95,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
55R,14.97,0,MB,old,0.6228471001757471,0.03337881741390513,True,old_enriched
1G8,7.88,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
42T,15.96,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
42T,15.96,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
31S,17.0,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
0B9,12.11,0,MB,old,-0.4590509666080843,0.06746588693957115,False,neutral
3E4,11.99,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
5R4,6.25,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
2S2,6.31,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
82V,16.01,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
8I6,9.9,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
5R4,6.25,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
2T6,5.18,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
91O,15.86,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
6D9,13.11,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
2C6,14.03,0,MB,old,-0.4590509666080843,0.06746588693957115,False,neutral
1G8,7.88,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
7M4,8.15,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
98V,16.03,0,MB,old,-1.0,0.009525666016894087,True,young_enriched
43N,17.0,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
2S6,3.17,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
56R,14.95,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
56R,14.95,0,MB,old,-1.0,0.009525666016894087,True,young_enriched
56R,14.95,0,MB,old,0.6228471001757471,0.03337881741390513,True,old_enriched
3T5,5.12,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
5R4,6.25,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
5R4,6.25,0,MB,young,1.4342706502636207,6.49772579597141e-06,True,old_enriched
8I6,9.9,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
2S6,3.17,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
56R,14.95,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
2S2,6.31,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
2I1,10.27,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
56R,14.95,0,MB,old,0.8933216168717049,0.03337881741390513,True,old_enriched
1G8,7.88,0,MB,young,1.1637961335676628,0.006380766731643925,True,old_enriched
1G8,7.88,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
1G8,7.88,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
1G8,7.88,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
6L4,8.2,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
56R,14.95,0,MB,old,0.6228471001757471,0.03337881741390513,True,old_enriched
8B3,13.09,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
2V1,4.3,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
7M4,8.15,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
2S2,6.31,0,MB,young,0.6228471001757471,0.03337881741390513,True,old_enriched
1G8,7.88,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
7M4,8.15,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
7M4,8.15,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
8M0,8.12,0,MB,young,0.6228471001757471,0.03337881741390513,True,old_enriched
8M0,8.12,0,MB,young,0.8933216168717049,0.03337881741390513,True,old_enriched
2S2,6.31,0,MB,young,1.7047451669595783,6.49772579597141e-06,True,old_enriched
2S2,6.31,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
1G8,7.88,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
98V,16.03,0,MB,old,0.3523725834797892,0.28682910981156595,False,neutral
7M4,8.15,0,MB,young,0.6228471001757471,0.03337881741390513,True,old_enriched
7M4,8.15,0,MB,young,-0.18857644991212646,0.22080571799870047,False,neutral
31S,17.0,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
2V1,4.3,0,MB,young,-0.4590509666080843,0.06746588693957115,False,neutral
5R4,6.25,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
8M0,8.12,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,0.08189806678383138,0.28682910981156595,False,neutral
5R4,6.25,0,MB,young,0.6228471001757471,0.03337881741390513,True,old_enriched
8B3,13.09,0,MB,old,-0.18857644991212646,0.22080571799870047,False,neutral
5H6,11.03,0,MB,old,1.1637961335676628,0.006380766731643925,True,old_enriched
6O7,6.03,0,MB,young,0.3523725834797892,0.28682910981156595,False,neutral
56R,14.95,0,MB,old,0.08189806678383138,0.28682910981156595,False,neutral
2V1,4.3,0,MB,young,-0.7295254833040422,0.06746588693957115,False,young_enriched
7F0,11.2,0,MB,old,0.8933216168717049,0.03337881741390513,True,old_enriched
