animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
98V,16.03,16,M1,old,0.08000000000000004,0.2803817314246762,False,neutral
31S,17.0,16,M1,old,0.08000000000000004,0.2803817314246762,False,neutral
91O,15.86,16,M1,old,0.44000000000000006,0.025132924335378323,True,neutral
3R7,3.32,16,M1,young,-0.64,0.003749147920927062,True,young_enriched
2S2,6.31,16,M1,young,-0.45999999999999996,0.092733469665985,False,neutral
55R,14.97,16,M1,old,-0.27999999999999997,0.2467143830947512,False,neutral
3D1,13.11,16,M1,old,-0.27999999999999997,0.2467143830947512,False,neutral
8H2,10.13,16,M1,old,-0.45999999999999996,0.092733469665985,False,neutral
2S6,3.17,16,M1,young,-0.09999999999999996,0.4770074982958419,False,neutral
37V,15.07,16,M1,old,0.44000000000000006,0.025132924335378323,True,neutral
7M4,8.15,16,M1,young,-0.27999999999999997,0.2467143830947512,False,neutral
8I6,9.9,16,M1,young,0.08000000000000004,0.2803817314246762,False,neutral
3K1,9.01,16,M1,young,-0.09999999999999996,0.4770074982958419,False,neutral
3T5,5.12,16,M1,young,0.26000000000000006,0.10573960463531015,False,neutral
7M4,8.15,16,M1,young,0.26000000000000006,0.10573960463531015,False,neutral
8B3,13.09,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
0G3,9.1,16,M1,young,0.6200000000000001,0.025132924335378323,True,old_enriched
0B9,12.11,16,M1,old,0.26000000000000006,0.10573960463531015,False,neutral
2T2,4.09,16,M1,young,0.08000000000000004,0.2803817314246762,False,neutral
3R7,3.32,16,M1,young,-0.27999999999999997,0.2467143830947512,False,neutral
56R,14.95,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
98V,16.03,16,M1,old,-0.27999999999999997,0.2467143830947512,False,neutral
42T,15.96,16,M1,old,-0.27999999999999997,0.2467143830947512,False,neutral
31S,17.0,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
46Z,13.97,16,M1,old,0.44000000000000006,0.025132924335378323,True,neutral
77V,16.15,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
1V8,4.31,16,M1,young,0.26000000000000006,0.10573960463531015,False,neutral
2T6,5.18,16,M1,young,0.08000000000000004,0.2803817314246762,False,neutral
91O,15.86,16,M1,old,0.08000000000000004,0.2803817314246762,False,neutral
8H2,10.13,16,M1,old,-0.27999999999999997,0.2467143830947512,False,neutral
91O,15.86,16,M1,old,0.26000000000000006,0.10573960463531015,False,neutral
2S6,3.17,16,M1,young,0.26000000000000006,0.10573960463531015,False,neutral
8H2,10.13,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
3K1,9.01,16,M1,young,0.08000000000000004,0.2803817314246762,False,neutral
1G8,7.88,16,M1,young,0.44000000000000006,0.025132924335378323,True,neutral
8H2,10.13,16,M1,old,0.26000000000000006,0.10573960463531015,False,neutral
2T6,5.18,16,M1,young,-0.27999999999999997,0.2467143830947512,False,neutral
37V,15.07,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
8H2,10.13,16,M1,old,-0.09999999999999996,0.4770074982958419,False,neutral
0B9,12.11,16,M1,old,-0.27999999999999997,0.2467143830947512,False,neutral
6O7,6.03,16,M1,young,-0.09999999999999996,0.4770074982958419,False,neutral
37V,15.07,16,M1,old,0.44000000000000006,0.025132924335378323,True,neutral
77V,16.15,16,M1,old,0.08000000000000004,0.2803817314246762,False,neutral
1L1,8.17,16,M1,young,0.26000000000000006,0.10573960463531015,False,neutral
55R,14.97,16,M1,old,0.26000000000000006,0.10573960463531015,False,neutral
31S,17.0,16,M1,old,0.44000000000000006,0.025132924335378323,True,neutral
