animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
43N,17.0,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
0B9,12.11,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
2S6,3.17,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
8M0,8.12,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
2I1,10.27,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
43N,17.0,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8I6,9.9,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
37V,15.07,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
8M0,8.12,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
7M4,8.15,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.5790845070422536,0.007975573029948134,True,young_enriched
77V,16.15,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
2I1,10.27,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
77V,16.15,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
43N,17.0,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
8C9,12.12,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.5790845070422536,0.007975573029948134,True,young_enriched
37V,15.07,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
7M4,8.15,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
77V,16.15,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
82V,16.01,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
98V,16.03,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
7M4,8.15,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
77V,16.15,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
0G3,9.1,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
8M0,8.12,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
2I1,10.27,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
1L1,8.17,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
0G3,9.1,7,NAc,young,-0.7193896713615023,0.0011209636941609503,True,young_enriched
56K,19.93,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
0B9,12.11,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
8C9,12.12,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
2S6,3.17,7,NAc,young,-0.5790845070422536,0.007975573029948134,True,young_enriched
37V,15.07,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.8596948356807512,9.034632758909152e-05,True,young_enriched
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
98V,16.03,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
8C9,12.12,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
4J6,7.15,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
43N,17.0,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
8I6,9.9,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8I6,9.9,7,NAc,young,0.40305164319248815,0.034090680943617196,True,neutral
37V,15.07,7,NAc,old,-0.7193896713615023,0.0011209636941609503,True,young_enriched
8M0,8.12,7,NAc,young,-0.5790845070422536,0.007975573029948134,True,young_enriched
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
1G8,7.88,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
1L1,8.17,7,NAc,young,0.40305164319248815,0.034090680943617196,True,neutral
77V,16.15,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
77V,16.15,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
8I6,9.9,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
37V,15.07,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,-0.43877934272300473,0.03833026601974235,True,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
7M4,8.15,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
2T6,5.18,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
2I1,10.27,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
5H6,11.03,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,-0.5790845070422536,0.007975573029948134,True,young_enriched
8C9,12.12,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
37V,15.07,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.5790845070422536,0.007975573029948134,True,young_enriched
56R,14.95,7,NAc,old,-0.5790845070422536,0.007975573029948134,True,young_enriched
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
3D1,13.11,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
3D1,13.11,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
3T5,5.12,7,NAc,young,-0.43877934272300473,0.03833026601974235,True,neutral
3T5,5.12,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
50P,15.59,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
2T6,5.18,7,NAc,young,-0.43877934272300473,0.03833026601974235,True,neutral
7F0,11.2,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
43N,17.0,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,-0.43877934272300473,0.03833026601974235,True,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
31S,17.0,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
77V,16.15,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
0B9,12.11,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
8C9,12.12,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
2S6,3.17,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
2S6,3.17,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
2S6,3.17,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
37V,15.07,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
3K1,9.01,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
98V,16.03,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,0.40305164319248815,0.034090680943617196,True,neutral
7M4,8.15,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
77V,16.15,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
77V,16.15,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
43N,17.0,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
8C9,12.12,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8C9,12.12,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
1P5,6.21,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
3K1,9.01,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
1G8,7.88,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
7M4,8.15,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,-0.5790845070422536,0.007975573029948134,True,young_enriched
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
2I1,10.27,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
2I1,10.27,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
0G3,9.1,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
0G3,9.1,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
37V,15.07,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
37V,15.07,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.5790845070422536,0.007975573029948134,True,young_enriched
8M0,8.12,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
1G8,7.88,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
77V,16.15,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
77V,16.15,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
77V,16.15,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
0G3,9.1,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
56K,19.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56K,19.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
37V,15.07,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
2T6,5.18,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
2I1,10.27,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
0G3,9.1,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
56K,19.93,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
8C9,12.12,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
2S6,3.17,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,-0.5790845070422536,0.007975573029948134,True,young_enriched
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
56R,14.95,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.2627464788732393,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
97R,17.93,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
97R,17.93,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
1L1,8.17,7,NAc,young,-0.29847417840375595,0.12810774636105068,False,neutral
8C9,12.12,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
8I6,9.9,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
8I6,9.9,7,NAc,young,-0.5790845070422536,0.007975573029948134,True,young_enriched
2S6,3.17,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
2S6,3.17,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
2S6,3.17,7,NAc,young,-0.017863849765258306,0.3145691818638113,False,neutral
37V,15.07,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
37V,15.07,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
8M0,8.12,7,NAc,young,-0.15816901408450712,0.3145691818638113,False,neutral
8M0,8.12,7,NAc,young,0.1224413145539905,0.17154759912999834,False,neutral
56R,14.95,7,NAc,old,-0.29847417840375595,0.12810774636105068,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,0.40305164319248815,0.034090680943617196,True,neutral
56R,14.95,7,NAc,old,-0.15816901408450712,0.3145691818638113,False,neutral
56R,14.95,7,NAc,old,-0.43877934272300473,0.03833026601974235,True,neutral
56R,14.95,7,NAc,old,-0.017863849765258306,0.3145691818638113,False,neutral
98V,16.03,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
98V,16.03,7,NAc,old,0.1224413145539905,0.17154759912999834,False,neutral
7M4,8.15,7,NAc,young,0.2627464788732393,0.17154759912999834,False,neutral
